Datum,we1_meter,we2_meter,general_meter,pv_meter,sum_meter
2025-08-05 07:48:07,24.217,2.606,84.533,70.45423651957636,40.90176348042364
2025-08-05 08:03:07,24.243,2.607,84.549,70.99999842763097,40.39900157236903
2025-08-05 08:18:08,,,84.566,71.59671114485323,39.819288855146766
2025-08-05 08:28:07,24.287,2.607,,72.24335519757537,39.21664480242464
2025-08-05 08:33:07,,,84.583,72.9388258052805,38.5381741947195
2025-08-05 08:48:08,,,84.599,73.68193476810161,37.81106523189838
2025-08-05 08:58:07,24.309,2.607,,74.47141249684108,37.04358750315892
2025-08-05 09:03:07,,,84.616,75.30591018204254,36.22608981795746
2025-08-05 09:18:07,24.322,2.607,84.632,76.18400209840917,35.37699790159084
2025-08-05 09:33:07,24.332,2.607,84.649,77.10418804063151,34.48381195936848
2025-08-05 09:48:06,24.342,2.607,84.666,78.06489588646303,33.55010411353696
2025-08-05 10:03:06,24.352,2.607,,79.06448428266462,32.56051571733538
2025-08-05 10:03:07,,,84.686,80.10124544922905,31.543754550770956
2025-08-05 10:18:06,24.362,2.608,,81.17340809709452,30.482591902905483
2025-08-05 10:18:07,,,84.712,82.27914045436225,29.402859545637753
2025-08-05 10:33:07,24.372,2.608,84.744,83.41655339584806,28.30744660415195
2025-08-05 10:48:06,24.386,2.608,84.76,84.58370367062106,27.170296329378942
2025-08-05 11:03:06,24.415,2.608,,85.7785972220153,26.004402777984694
2025-08-05 11:03:07,,,84.777,86.99919259444209,24.800807405557904
2025-08-05 11:18:06,24.442,2.608,84.793,88.24340442118263,23.59959557881737
2025-08-05 11:33:06,24.468,,,89.5091069872021,22.359893012797897
2025-08-05 11:33:07,,2.608,84.81,90.79413786089812,21.091862139101877
2025-08-05 11:48:07,24.495,2.608,,92.09630158857884,19.81669841142117
2025-08-05 11:48:08,,,84.831,93.41337344535881,18.520626554641183
2025-08-05 12:03:06,24.52,2.608,84.847,94.74310323606407,17.23189676393592
2025-08-05 12:18:07,24.546,2.608,84.864,96.0832191396529,15.934780860347104
2025-08-05 12:33:07,24.567,2.608,84.88,97.43143159058391,14.62356840941608
2025-08-05 12:48:07,24.578,2.608,84.897,98.78543719050043,13.297562809499567
2025-08-05 13:03:06,24.604,2.609,84.923,100.1429226435479,11.99307735645209
2025-08-05 13:18:07,24.63,2.609,84.946,101.50156870860107,10.683431291398932
2025-08-05 13:33:07,24.65,2.609,84.962,102.85905416164854,9.36194583835146
2025-08-05 13:48:06,24.661,2.609,84.979,104.21305976156506,8.035940238434932
2025-08-05 14:03:07,24.686,2.609,,105.56127221249608,6.712727787503923
2025-08-05 14:03:08,,,85.003,106.9013881160849,5.396611883915099
2025-08-05 14:23:06,24.719,,85.024,108.23111790679016,4.120882093209843
2025-08-05 14:33:06,24.725,2.609,,109.54818976357014,2.8098102364298683
2025-08-05 14:33:07,,,85.036,110.85035349125086,1.5196465087491475
2025-08-05 14:48:06,,2.61,,112.13538436494687,0.23561563505313643
2025-08-05 14:48:07,24.744,,85.052,113.40108693096634,-0.9950869309663375
2025-08-05 15:03:06,24.77,2.61,,114.64529875770688,-2.2132987577068803
2025-08-05 15:03:07,,,85.069,115.86589413013367,-3.41689413013367
2025-08-05 15:18:07,24.788,2.61,85.086,117.06078768152791,-4.576787681527918
